no,part_no,Sparepart,Stok,Jumlah,Harga,Kategori,Klasifikasi
806.0,45111-80J52-000,"KNUCKLE,STEERING,R",Dikit,Rendah,Mahal,Critical,laris
674.0,46122-65J00-000,"PLUNGER,STEERING RACK",Sedang,Rendah,Mahal,Critical,tidak laris
808.0,38480-80J00-000,"NOZZLE COMP,WASHER",Banyak,Tinggi,Murah,Fast,laris
809.0,41601-80J01-000,"STRUT ASSY,FRONT SPNSN,R",Dikit,Rendah,Mahal,Critical,laris
810.0,55192-80J00-000,PIN-B ASSY,Banyak,Tinggi,Murah,Critical,laris
811.0,55321-80J00-000,"COVER,BRAKE DISC DUST",Sedang,Tinggi,Murah,Slow,laris
812.0,57300-80810-000,"PANEL SET,FRONT HOOD",Dikit,Rendah,Mahal,Slow,tidak laris
813.0,58120-80J00-000,"BRACE COMP,LAMP SUPPORT,L",Banyak,Tinggi,Murah,Slow,laris
814.0,58230-79J00-000,"MEMBER COMP,HOOD LOCK",Dikit,Rendah,Mahal,Slow,tidak laris
815.0,58240-80J00-000,"BRACE COMP,HOOD LOCK",Banyak,Tinggi,Murah,Slow,laris
816.0,72321-80J00-000,LINNING FRONT FENDER R,Banyak,Tinggi,Mahal,Slow,tidak laris
817.0,72322-80J00-000,"LINNING,FRONT FENDER L",Sedang,Tinggi,Mahal,Slow,laris
818.0,72390-80J00-000,"COVER ASSY,ENGINE UNDER R",Sedang,Tinggi,Mahal,Slow,laris
819.0,73310-80J00-P4Z,"PANEL COMP,INSTRUMENT CLUSTER",Sedang,Rendah,Mahal,Slow,tidak laris
820.0,73610-80J00-FC6,"LOUVER COMP,CTR VENT",Sedang,Tinggi,Mahal,Slow,laris
821.0,77212-80J00-5PK,"PROTECTOR,FR SPLASH R (BLACK)",Sedang,Tinggi,Murah,Slow,laris
822.0,78216-80J00-5PK,"CAP,ROOF RAIL FR,R",Sedang,Tinggi,Murah,Slow,laris
823.0,78217-80J00-5PK,"CAP,ROOF RAIL RR,R",Sedang,Tinggi,Murah,Slow,laris
824.0,78220-80J00-N1V,"RAIL COMP,ROOF L",Sedang,Rendah,Mahal,Slow,tidak laris
825.0,78226-80J00-5PK,"CAP,ROOF RAIL FR,L",Sedang,Rendah,Murah,Slow,laris
826.0,78227-80J00-5PK,"CAP,ROOF RAIL RR,L",Banyak,Tinggi,Murah,Slow,laris
